,Book Title,Book Price,Book Rating,Stcok
0,In Her Wake,12.84,One,In stock
1,How Music Works,37.32,Two,In stock
2,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,In stock
3,Chase Me (Paris Nights #2),25.27,Five,In stock
4,Black Dust,34.53,Five,In stock
5,Birdsong: A Story in Pictures,54.64,Three,In stock
6,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,Three,In stock
7,Aladdin and His Wonderful Lamp,53.13,Three,In stock
8,Worlds Elsewhere: Journeys Around ShakespeareÃ¢Â€Â™s Globe,40.30,Five,In stock
9,Wall and Piece,44.18,Four,In stock
10,The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,In stock
11,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,In stock
12,The Elephant Tree,23.82,Five,In stock
13,The Bear and the Piano,36.89,One,In stock
14,Sophie's World,15.94,Five,In stock
15,Penny Maybe,33.29,Three,In stock
16,Maude (1883-1993):She Grew Up with the country,18.02,Two,In stock
17,"In a Dark, Dark Wood",19.63,One,In stock
18,Behind Closed Doors,52.22,Four,In stock
19,You can't bury them all: Poems,33.63,Two,In stock
